"filename", "language", "SCSS", "HTML", "CSS", "JSON", "Batch", "PostgreSQL", "Markdown", "TypeScript", "JavaScript", "Stylus", "Vue", "XML", "Log", "Shell Script", "comment", "blank", "total"
"c:\repos\hug-moms\src\app\auth\login-response.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\repos\hug-moms\src\app\auth\roles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\repos\hug-moms\src\app\basket-summary\basket-summary.component.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\repos\hug-moms\src\app\basket-summary\basket-summary.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\basket-summary\basket-summary.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\repos\hug-moms\src\app\common-questions\common-questions.component.html", "HTML", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\repos\hug-moms\src\app\common-questions\common-questions.component.scss", "SCSS", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\repos\hug-moms\src\app\common-questions\common-questions.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\repos\hug-moms\src\app\create-new-event\create-new-event.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 35, 205
"c:\repos\hug-moms\src\app\custom-reuse-controller-router-strategy.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 5, 12, 103
"c:\repos\hug-moms\src\app\date-range\date-range.component.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\repos\hug-moms\src\app\date-range\date-range.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\date-range\date-range.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 11, 79
"c:\repos\hug-moms\src\app\delivery-follow-up\HelpersAndStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 15, 87
"c:\repos\hug-moms\src\app\delivery-follow-up\delivery-follow-up.component.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\repos\hug-moms\src\app\delivery-follow-up\delivery-follow-up.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\delivery-follow-up\delivery-follow-up.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 1, 42, 265
"c:\repos\hug-moms\src\app\delivery-history\delivery-history.component.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\repos\hug-moms\src\app\delivery-history\delivery-history.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\delivery-history\delivery-history.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 46, 411
"c:\repos\hug-moms\src\app\delivery-reception\delivery-reception.component.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\repos\hug-moms\src\app\delivery-reception\delivery-reception.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\delivery-reception\delivery-reception.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 25, 179
"c:\repos\hug-moms\src\app\distribution-map\distribution-map.component.html", "HTML", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 57
"c:\repos\hug-moms\src\app\distribution-map\distribution-map.component.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\repos\hug-moms\src\app\distribution-map\distribution-map.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 430, 0, 0, 0, 0, 0, 0, 17, 94, 541
"c:\repos\hug-moms\src\app\duplicate-families\duplicate-families.component.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\repos\hug-moms\src\app\duplicate-families\duplicate-families.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\duplicate-families\duplicate-families.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 0, 1, 23, 249
"c:\repos\hug-moms\src\app\edit-comment-dialog\edit-comment-dialog.component.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 31
"c:\repos\hug-moms\src\app\edit-comment-dialog\edit-comment-dialog.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\edit-comment-dialog\edit-comment-dialog.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\repos\hug-moms\src\app\events\events.component.html", "HTML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\repos\hug-moms\src\app\events\events.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\hug-moms\src\app\events\events.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 12, 159
"c:\repos\hug-moms\src\app\events\events.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 22, 319
"c:\repos\hug-moms\src\app\families\BasketType.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\repos\hug-moms\src\app\families\CallStatus.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\repos\hug-moms\src\app\families\DeliveryStatus.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 7, 16, 129
"c:\repos\hug-moms\src\app\families\FamilyDeliveries.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 703, 0, 0, 0, 0, 0, 0, 3, 66, 772
"c:\repos\hug-moms\src\app\families\FamilySources.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\repos\hug-moms\src\app\families\FamilyStatus.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\repos\hug-moms\src\app\families\YesNo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
